#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#INTIRIGUE
amateurish_plotter;Rowdy Ruffian;Comploteur amateur;Dilettantischer Verschwörer;;Complotador amateur;;;;;;;;;x
tough_soldier_desc;The Doughty Disputant is fearsome on the battlefield, but only a mediocre commander.;Ce personnage est redoutable sur le champ de bataille, mais médiocre en tant que commandant.;Der zähe Soldat ist auf dem Schlachtfeld ein gefürchteter Gegner, dafür aber nur ein mittelmäßiger Befehlshaber.;;El soldado aguerrido es temible en el campo de batalla, aunque mediocre como comandante.;;;;;;;;;x
skilled_tactician;Puissant Precursor;Fin tacticien;Fähiger Taktiker;;Hábil estratega;;;;;;;;;x
skilled_tactician_desc;The Puissant Precursor is an adept in the art of war - a valiant warrior and reliable commander.;Ce personnage, adepte de l’art de la guerre, un courageux combattant doublé d’un commandant fiable.;Der fähige Taktiker versteht sich gut auf die Kunst des Krieges. Er ist ein kühner Krieger und zuverlässiger Befehlshaber.;;El hábil estratega es un adepto del arte de la guerra, valeroso guerrero y buen comandante.;;;;;;;;;x
brilliant_strategist;Courageous Champion;Brillant stratège;Brillanter Stratege;;Brillante estratega;;;;;;;;;x
brilliant_strategist_desc;The Courageous Champion has an almost preternatural understanding of all things martial, having the perfect makings for a Marshal or a military tutor.;Ce personnage a des prédispositions naturelles pour tout ce qui touche à la guerre et possède toutes les qualités pour devenir Maréchal ou enseigner les arts militaires.;Der brillante Stratege hat ein fast übernatürliches Verständnis für alle kriegerischen Dinge. Dies macht ihn zur perfekten Wahl für das Marschallsamt oder als Militärausbilder.;;El brillante estratega tiene un conocimiento casi sobrenatural sobre las artes de la guerra, tiene lo necesario para ser mariscal o tutor militar.;;;;;;;;;x

#LEARNING
detached_priest;Arid Annalist;Prêtre désinvolte;Wanderpriester;;Sacerdote indiferente;;;;;;;;;x
detached_priest_desc;The Arid Annalist received a fundamental scholarly education but displays no talent beyond basic literacy.;Ce personnage a reçu une éducation religieuse, mais à part apprendre à lire, il n’en a rien retenu.;Der Wanderpriester hat zwar eine kirchliche Ausbildung genossen, aber dabei hat er nur halbwegs Lesen und Schreiben gelernt.;;El sacerdote indiferente ha recibido educación eclesiástica, pero no muestra talento más allá de su cultura básica.;;;;;;;;;x
martial_cleric;Bubbly Bookworm;Ecclésiastique soumis;Pflichtbewusster Geistlicher;;Clérigo obediente;;;;;;;;;x
martial_cleric_desc;The Bubbly Bookworm is learned and possessed of beautiful penmanship, but lacks particular interest in scholarship.;Ce personnage est éduqué et doué pour la calligraphie, il ne s’intéresse pas particulièrement à la théologie.;Der pflichtbewusste Geistliche ist gebildet und von schöner Federführung wie besessen. Dafür mangelt es ihm aber an theologischem Interesse.;;El clérigo obediente es culto y posee una bella caligrafía, pero no le interesa particularmente la teología.;;;;;;;;;x
scholarly_theologian;Sophisticated Sage;Théologien érudit;Gelehrter Theologe;;Teólogo erudito;;;;;;;;;x
scholarly_theologian_desc;The Sophisticated Sage is wise and well read, with a deep understanding of philosophy and history.;Ce personnage est sage, lettré et excelle dans les domaines de la philosophie et de la théologie.;Der gelehrte Theologe ist weise und sehr belesen. Er hat großes Wissen in philosophischen und theologischen Dingen.;;El teólogo erudito es sabio y culto, y posee un conocimiento profundo de la filosofía y la teología.;;;;;;;;;x
mastermind_theologian;Legendary Loremaster;Grand théologien;Meistertheologe;;Cerebro teológico;;;;;;;;;x
mastermind_theologian_desc;The Legendary Loremaster has extensive knowledge of historical folklore, archival writings and penmanship, a recognised and well lauded scholar in their own right.;Grand théologien;Meistertheologe;;Cerebro teológico;;;;;;;;;x
