#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x
#ELVES-DUNEDAIN;x;x;x;x;x
EVTTITalliancesystem.1;A Call for the Dúnedain;Un Appel aux Dunedains;;;;;;x
EVTOPTAalliancesystem.5;Yes, send an emissary immediately!;Yes, send an emissary immediately!;;;;;;x
EVTOPTBalliancesystem.5;No, we can handle this alone.;No, we can handle this alone.;;;;;;x
EVTTITalliancesystem.6;War in Dale!;War in Dale!;;;;;;x
EVTDESCalliancesystem.6;An emissary from Dale reaches your halls, asking that you send aid with all haste in this hour of need! Dale is under attack!;An emissary from Dale reaches your halls, asking that you send aid with all haste in this hour of need! Dale is under attack!;;;;;;x
EVTOPTAalliancesystem.6;Baruk-Khazad! Khazad-ai-menu!;Baruk-Khazad! Khazad-ai-menu!;;;;;;x
EVTOPTBalliancesystem.6;No, let them fight their own battles.;No, let them fight their own battles.;;;;;;x
EVTTITalliancesystem.7;Erebor Responds;Erebor Responds;;;;;;x
EVTDESCalliancesystem.7;An answer returns from the Mountain, the Dwarves are preparing a host for war, and will stand side by side with us in the coming battles!;An answer returns from the Mountain, the Dwarves are preparing a host for war, and will stand side by side with us in the coming battles!;;;;;;x
EVTOPTAalliancesystem.7;Feasts, meats and ale for our Dwarven friends!;Feasts, meats and ale for our Dwarven friends!;;;;;;x
EVTTITalliancesystem.8;A Call for Dale;A Call for Dale;;;;;;x
EVTDESCalliancesystem.8;The men of Dale have always been true and loyal allies. Shall we ask them if they will aid us in our defensive war?;The men of Dale have always been true and loyal allies. Shall we ask them if they will aid us in our defensive war?;;;;;;x
EVTOPTAalliancesystem.8;Yes, send an emissary immediately!;Yes, send an emissary immediately!;;;;;;x
EVTOPTBalliancesystem.8;No, we can handle this alone.;No, we can handle this alone.;;;;;;x
EVTTITalliancesystem.9;War in Erebor!;War in Erebor!;;;;;;x
EVTDESCalliancesystem.9;An emissary from the Dwarves of the Mountain reaches your palace, asking that you send aid with all haste in this hour of need! Erebor is under attack!;An emissary from the Dwarves of the Mountain reaches your palace, asking that you send aid with all haste in this hour of need! Erebor is under attack!;;;;;;x
EVTOPTAalliancesystem.9;Gather the men! We're leaving!;Gather the men! We're leaving!;;;;;;x
EVTOPTBalliancesystem.9;No, let the Dwarves fight their own battles.;No, let the Dwarves fight their own battles.;;;;;;x
EVTTITalliancesystem.13;Dale Responds;Dale Responds;;;;;;x
EVTDESCalliancesystem.13;An answer returns from Dale, the Bardings are preparing a host for war, and will stand side by side with us in the coming battles!;An answer returns from Dale, the Bardings are preparing a host for war, and will stand side by side with us in the coming battles!;;;;;;x
EVTOPTAalliancesystem.13;Feasts, meats and ale for our Barding friends!;Feasts, meats and ale for our Barding friends!;;;;;;x
#HOBBITS;;;;;;;;x
EVTTITalliancesystem.10;A Call for the Dúnedain;A Call for the Dúnedain;;;;;;x
EVTDESCalliancesystem.10;The Dúnedain of the North have always watched over the Shire and Hobbits. Shall we call for aid in this hour of need?;The Dúnedain of the North have always watched over the Shire and Hobbits. Shall we call for aid in this hour of need?;;;;;;x
EVTOPTAalliancesystem.10;Yes, send emissaries immediately!;Yes, send emissaries immediately!;;;;;;x
EVTOPTBalliancesystem.10;No, we can handle this alone.;No, we can handle this alone.;;;;;;x
EVTTITalliancesystem.11;War in the Shire!;War in the Shire!;;;;;;x
EVTDESCalliancesystem.11;A Hobbit riding a Pony from the Shire reaches your camp, asking that you send aid with all haste in this hour of need! The Shire is under attack!;A Hobbit riding a Pony from the Shire reaches your camp, asking that you send aid with all haste in this hour of need! The Shire is under attack!;;;;;;x
EVTOPTAalliancesystem.11;Gather the men! We're leaving at dawn!;Gather the men! We're leaving at dawn!;;;;;;x
EVTOPTBalliancesystem.11;No, let them fight their own battles.;No, let them fight their own battles.;;;;;;x
EVTTITalliancesystem.12;The Dúnedain Respond;The Dúnedain Respond;;;;;;x
EVTDESCalliancesystem.12;An answer returns from the Dúnedain camps, they will answer your call to arms!;An answer returns from the Dúnedain camps, they will answer your call to arms!;;;;;;x
EVTOPTAalliancesystem.12;Beer and Pipe-weed for the Dúnedain heroes!;Beer and Pipe-weed for the Dúnedain heroes!;;;;;;x
#GOOD AT WAR WITH SAURON;;;;;;;;x
EVTTITalliancesystem.20;War with Sauron;;;;;;x
EVTDESCalliancesystem.20;We are now at war with Sauron! We should ask the White Council to gather the Free Peoples to help us!;;;;;;x
EVTOPTAalliancesystem.20;Yes, ask for help.;;;;;;x
EVTOPTBalliancesystem.20;No help is wanted.;;;;;;;x
EVTTITalliancesystem.21;War with Sauron;;;;;;x
EVTDESCalliancesystem.21;[From.GetTitledName], a defender of Middle-Earth, is now at war with Sauron, and is requesting that the White Council call for aid.;;;;;;x
EVTOPTAalliancesystem.21;Call all the Free People to help this Lord!;;;;;;x
EVTOPTBalliancesystem.21;We can't do this.;;;;;;x
EVTTITalliancesystem.22;A Call for Aid;;;;;;x
EVTDESCalliancesystem.22;[FromFrom.GetTitledName], a defender of Middle-Earth, is now at war with Sauron, and the White Council is requesting that Defenders of Middle-Earth join [FromFrom.GetHerHim].;;;;;;x
EVTOPTAalliancesystem.22;Yes We Shall.;;;;;;x
EVTOPTBalliancesystem.22;I can't do it;;;;;;x
EVTTITalliancesystem.23;Help from a defender of Middle-Earth!;;;;;;x
EVTDESCalliancesystem.23;[Root.GetTitledName], I, [From.GetTitledName], will be glad to come to your aid againt Sauron and any other enemy of yours!;;;;;;x
EVTOPTAalliancesystem.23;Great!;;;;;;x
EVTTITalliancesystem.24;The White Council will join you.;;;;;;x
EVTDESCalliancesystem.24;[From.GetTitledName] and the other members of the White Counil have joined in your wars;;;;;;x
EVTTITalliancesystem.25;We need help!;;;;;;x
EVTDESCalliancesystem.25;We are now at war with Sauron! We should contact the White Council, but they are unlikely to be contactable.;;;;;;x
EVTOPTAalliancesystem.25;Of course.;;;;;;x
EVTTITalliancesystem.26;We have contacted the White Council!;;;;;;x
EVTDESCalliancesystem.26;We are now at war with Sauron! We should ask the White Council to gather the Free Peoples to help us!;;;;;;x
EVTOPTAalliancesystem.26;Call for aid!;;;;;;x
EVTOPTBalliancesystem.26;I don't feel like it.;;;;;;x
EVTTITalliancesystem.27;War against Evil.;;;;;;x
EVTDESCalliancesystem.27;Our war against [From.GetTitledName] has widened, with the members of the White Council joining [From.GetHerHim] against us.;;;;;;x
EVTOPTAalliancesystem.27;Time to order my servants into battle.;;;;;;x
EVTOPTBalliancesystem.27;I shall win this myself.;;;;;;x
EVTTITalliancesystem.28;Sauron Commands You;;;;;;x
EVTDESCalliancesystem.28;Your master, Sauron, is commanding that you join him in His war against [FromFrom.GetTitledName], and [FromFrom.GetHerHim] allies the White Council.;;;;;;x
EVTOPTAalliancesystem.28;I Hear and Obey;;;;;;x
EVTTITalliancesystem.29;Response to Your Summons;;;;;;x
EVTDESCalliancesystem.29;Your servant, [From.GetTitledName], has joined you in your wars.;;;;;;x
EVTOPTAalliancesystem.29;Or course;;;;;;x
