#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x;;
#Bloodlines of Numenor;;;;;;;
elf_desc;This character is one of the Eldar, known in the common-tongue as Elves, this race is amongst the most noble in Middle-Earth. They are famed for their natural gifts of immortality, craftsmanship and skill in battle.;Ce personnage est l'un des Eldar.;;;;;x
elf_childhood;Elven Childhood;Enfance Elfe;;;;;x
elf_childhood_desc;This elf is not an adult, and is still in his childhood. ;Cet elfe n'est pas encore un adulte, et est toujours dans l'enfance.;;;;;x
half_elf;Half-Elf;Semi-Elfe;;;;;x
half_elf_desc;This character is born from an Elf and a Man.;Ce personnage est né d'un parent humain, et d'un parent elfe.;;;;;x
elven_blood;Elven Blood;Sang Elfique;;;;;x
elven_blood_desc;This character has Elvish blood, passed on from an Elvish ancestor.;Ce personnage a du sang elfique en lui, car un de ses anctres est un elfe.;;;;;x
elven_infertility;Elven infertility;Infertilité des Elfes;;;;;x
elven_infertility_desc;This elf maiden may mother no more children.;Cette elfe a déjà eu quelques enfants, et ne semble plus pouvoir tomber enceinte.;;;;;x
#Ainur;;;;;;;
eagle;Great Eagle;Grand Aigle;;;;;x
eagle_desc;"The Eagles were birds that served as messengers of Manwë. Among those were the Great Eagles, immense birds who were sentient and capable of speech, and often helped Men, Elves and Wizards in the quests to defeat evil. They were ""devised"" by Manwë Súlimo, King of the Valar, and were often called the Eagles of Manwë.";"Les Eagles sont des oiseaux qui ont servi de messagers de Manwë. Parmi eux, les Grands Aigles, d'immenses oiseaux qui étaient plus intelligents et capables de parler, ont souvent aidés les hommes, elfes et magiciens dans les quêtes pour vaincre le Mal. Ils ont été ""conçus"" par Manwë Súlimo, roi des Valar, et étaient souvent appelés les Aigles de Manwë.";;;;;x
enigma;Enigma;Enigme;;;;;x
enigma_desc;This characters is an Enigma, and their origins a mystery.;Ce personnage est une énigme, et personne ne sait vraiment qui il est.;;;;;x
maiar;Maia;Maia;;;;;x
maiar_desc;This character is one of the Maiar, a lesser Ainur, created at the beginning of time.;Ce personnage est l'un des Ainur.;;;;;x
valar;Vala;Vala;;;;;x
valar_desc;This character is one of the greater Ainur, a demi-god, and resides in Valinor.;Ce personnage est l'un des Ainur, et vit dans les Terres Immortelles de Valinor.;;;;;x
#Dwarves;;;;;;;
heir_of_durin;Heir of Durin I;Héritier de Durin I;;;;;x
heir_of_durin_desc;Durin I, also known as Durin the Deathless due to his longevity, was the first of the seven Fathers of the Dwarves, the founder of the city of Khazad-dûm, and the first king of the Longbeards. You're his heir, and the living chief of his House.;Durin I, connu aussi sous le nom de Durin Trompe-la-Mort, est le premier des Sept Pères des Nains, le fondateur de Khazad-dûm, et le premier Roi du Peuple de Durin, les Longues-Barbes. Vous êtes son héritier, et le chef de sa lignée.;;;;;x
dwarven;Dwarf;Nain;;;;;x
dwarven_desc;This character is a Dwarf, a race created by Aulë Mahal, one of the Valar. Dwarves strive for the riches of the Earth, digging deep into mountains in search of valuable minerals. They are stout, strong, and particular lovers ale and salted pork.;Ce personnage est un nain, une race créée par le Valar Aulë Mahal.;;;;;x
dwarven_infertility;Dwarven Infertility;Infertilité des Nains;;;;;x
dwarven_infertility_desc;This dwarf has reached the capacity for having children.;Ce nain n'a plus la capacité d'avoir des enfants.;;;;;x
durin_reincarnation;Image of Durin I;;;;;;x
durin_reincarnation_desc;This dwarf appears to exactly resemble the father of the Longbeards, Durin I, in both appearance and temperament.;;;;;;x
#Wilderness;;;;;;;
wilderness;Wilderness;Territoire Sauvage;;;;;x
wilderness_desc;This land is ruled by no man, elf, dwarf or orc. Only wilderness can be see here.;Ce territoire n'est habité par aucun homme, elf, nain, ou orc.;;;;;x
wildlife;Wilderness;Territoire Sauvage;;;;;x
wildlife_desc;This land is ruled by no man, elf, dwarf or orc. Only wilderness can be see here.;Ce territoire n'est habité par aucun homme, elf, nain, ou orc.;;;;;x
#Men;;;;;;;
human_infertility;Human Infertility;Infertilité des Hommes;;;;;x
human_infertility_desc;This human has reached the capacity for having children.;Cette Femme a atteint un âge avancé, et n'est désormais plus en mesure d'avoir des enfants.;;;;;x
#Hobbit;;;;;;;
hobbit;Hobbit;Hobbit;;;;;x
hobbit_desc;This character is a Hobbit, also known as Halfling. They are smaller than Dwarves and are usually between two and four feet in height. Most Hobbits enjoy farming, food, parties and the giving and receiving of presents. They are usually friendly and prefer a quiet and peaceful life.;Ce personnage est un Hobbit, un semi-Homme. La plupart des hobbits aiment profiter de la vie, de la bonne nourriture, et aiment s'échanger des cadeaux. Ils sont généralement pacifiques.;;;;;x
#Other;;;;;;;
ent;Onodrim;Onodrim;;;;;x
ent_desc;This is a member of the race of Onodrim. Ents are ancient tree-like creatures who guard the Huorns, giant and semi-mobile trees similar to the Ents.;Ce personnage est un Onodrim, un Ent en langue commune. Les Ents sont d'anciennes créatures, gardiennes des forêts.;;;;;x
skin_changer;Skin Changer;Changeur de Peau;;;;;x
skin_changer_desc;This character can change his physical form and become a beast.;Ce personnage peut changer son apparence physique, comme le faisait Beorn.;;;;;x
numenorean;Numenorean;Numénoréen;;;;;x
numenorean_desc;This character was born in the island of Numenor, and then is a member of the greatest peoples of Mankind.;Ce personnage est né sur l'île de Numénor, et est donc l'un des membres du plus puissant peuple des Hommes.;;;;;x
prince_numenor;Prince of Numenor;Prince de Numenor;;;;;x
prince_numenor_desc;This character is a member of the Royal Family of Numenor, and is a descendant of Elros Tar-Minyatur, son of Earendil and brother of Elrond.;Ce personnage est membre de la Famille Royale de Numenor, et est donc l'un des descendants d'Elros Tar-Minyatur, le fils d'Eärendil et le frère d'Elrond Peredhel.;;;;;x
